id,name,validFrom,validTo
ocd-division/country:au/state:wa/region:agricultural,Agricultural Region,,
ocd-division/country:au/state:wa/region:south_metropolitan,South Metropolitan Region,,
ocd-division/country:au/state:wa/region:north_metropolitan,North Metropolitan Region,,
ocd-division/country:au/state:wa/region:east_metropolitan,East Metropolitan Region,,
ocd-division/country:au/state:wa/region:mining_pastoral,Mining and Pastoral Region,,
ocd-division/country:au/state:wa/region:south_west,South West Region,,
ocd-division/country:au/state:tas/disrtrict:launceston,Launceston,,
ocd-division/country:au/state:tas/disrtrict:windermere,Windermere,,
ocd-division/country:au/state:tas/disrtrict:derwent,Derwent,,
ocd-division/country:au/state:tas/disrtrict:murchison,Murchison,,
ocd-division/country:au/state:tas/disrtrict:mersey,Mersey,,
ocd-division/country:au/state:tas/disrtrict:huon,Huon,,
ocd-division/country:au/state:tas/disrtrict:montgomery,Montgomery,,
ocd-division/country:au/state:tas/disrtrict:prosser,Prosser,,
ocd-division/country:au/state:tas/disrtrict:rumney,Rumney,,
ocd-division/country:au/state:tas/disrtrict:rosevears,Rosevears,,
ocd-division/country:au/state:tas/disrtrict:mcintyre,McIntyre,,
ocd-division/country:au/state:tas/disrtrict:hobart,Hobart,,
ocd-division/country:au/state:tas/disrtrict:nelson,Nelson,,
ocd-division/country:au/state:tas/disrtrict:elwick,Elwick,,
ocd-division/country:au/state:tas/disrtrict:pembroke,Pembroke,,
ocd-division/country:au/state:vic/region:northeastern_metropolitan,North - Eastern Metropolitan Region,,
ocd-division/country:au/state:vic/region:eastern_victoria,Eastern Victoria,,
ocd-division/country:au/state:vic/region:northern_metropolitan,Northern Metropolitan,,
ocd-division/country:au/state:vic/region:northern_victoria,Northern Victoria,,
ocd-division/country:au/state:vic/region:south-eastern_metropolitan,South Eastern Metropolitan,,
ocd-division/country:au/state:vic/region:southern_metropolitan,Southern Metropolitan,,
ocd-division/country:au/state:vic/region:western_metropolitan,Western Metropolitan,,
ocd-division/country:au/state:vic/region:western_victoria,Western Victoria,,
